Generations,Unnamed: 0.1,Intertwine_two,Add_vertex,Delete_vertex,Invert_path_vertices,Insert_inside_vertex,Delete_inside_vertex,Replace_inside_vertex,Donate_between_routes,Trim_one_terminal_cb,Grow_one_terminal_cb
0,0.0,0.0999999999999999,0.0999999999999999,0.0999999999999999,0.0999999999999999,0.0999999999999999,0.0999999999999999,0.0999999999999999,0.0999999999999999,0.0999999999999999,0.0999999999999999
1,1.0,0.0998161768872847,0.0989762447998819,0.0987639795824022,0.1009751738504632,0.1000080165038997,0.100338565716536,0.1005210805491232,0.100244136855192,0.1005072189703146,0.0998494062849019
2,2.0,0.1006059263410782,0.0981025814746708,0.0972216476562935,0.1011639644678543,0.0995717540344409,0.1006474017037383,0.1005347015189272,0.0997645153614393,0.1017100820994258,0.1006774253421312
3,3.0,0.1007855354627666,0.0973532420174793,0.0953319064168278,0.101401812261963,0.0993107758766677,0.1015274020051824,0.1004591021955139,0.0996436467377914,0.1025727087034054,0.101613868322402
4,4.0,0.1017505670775147,0.09692428054442,0.0944523752806624,0.1013679848102299,0.0992801380562109,0.1022947410520059,0.0994803127111476,0.0989251551079447,0.10340225042687,0.1021221949329934
5,5.0,0.1016089378557053,0.0972475422142813,0.0928395421905656,0.1011681390801783,0.0983675263071207,0.103634718117331,0.0990676777561358,0.0977110897525337,0.1049513430667381,0.1034034836594095
6,6.0,0.1013000274473312,0.097133449026509,0.0912845088937029,0.1007992473458305,0.0971884023890852,0.1061440144468935,0.0986373403709032,0.0972784390994658,0.1065673116596658,0.1036672593206122
7,7.0,0.1014640360826061,0.0968896780764043,0.0901894435756492,0.100338357299845,0.0951371178428011,0.1078238521922506,0.0986031318792625,0.0962137353536689,0.1082604564149436,0.1050801912825681
8,8.0,0.1009263840672531,0.0961003925803536,0.0887523075802979,0.1003895119311676,0.0938258390926471,0.1098290454360508,0.0985271094940818,0.0946172964534182,0.1107405196121533,0.1062915937525759
9,9.0,0.1003010708665999,0.0957115952041159,0.0884376116227206,0.1000569462879629,0.0924627854881099,0.1112283490133842,0.097830269732959,0.0934781490584125,0.1133253896854818,0.1071678330402527
10,10.0,0.0996622279672611,0.0957564864854578,0.0880954966820024,0.0985525091821868,0.0915226791406786,0.1124259673754152,0.0976690777773859,0.0927604826706488,0.1155575218414062,0.1079975508775565
11,11.0,0.0993057693859947,0.0950935757667143,0.0880568455695191,0.0986900360292375,0.0907761376289665,0.1128416997846794,0.0966409063814682,0.0918017708344003,0.1178252140177784,0.1089680446012409
12,12.0,0.0990141084067789,0.0953184035497411,0.0879994248291374,0.0990155860066547,0.0882111110429763,0.1140161355498687,0.0953747874450846,0.0909146353358929,0.1204793964318818,0.1096564114019829
13,13.0,0.0991460220562272,0.0959660530664849,0.0875079299936783,0.0992562478915589,0.0853251916881584,0.115590009405129,0.0939619246723735,0.0896421898714385,0.1228746600307768,0.1107297713241737
14,14.0,0.0985979141097757,0.0949726128628937,0.0871871840568913,0.0987941188369509,0.0838710050668883,0.117577617916068,0.0928933890331215,0.0889534503210984,0.1252112329410425,0.111941474855269
15,15.0,0.0980302773508182,0.0950477338432606,0.0873826281542561,0.0986589091969058,0.0808859212430053,0.1192653521089477,0.0911030665825509,0.0883356760609955,0.1274765285115071,0.1138139069477521
16,16.0,0.0975352608685961,0.0953119751148343,0.0883325537722572,0.0968329142499827,0.0779919627135811,0.1212808586432599,0.0905790371697812,0.0871298107386479,0.1304414590186639,0.1145641677103951
17,17.0,0.0961999076390949,0.0957503751288982,0.0880906453633118,0.0966420636489471,0.0767788847088152,0.1230997232140908,0.0895684767062984,0.0862953959172148,0.1320600351383676,0.1155144925349604
18,18.0,0.0956325149371002,0.0953306700647682,0.0887483112664254,0.096077862761387,0.0753185538130818,0.1251454889365238,0.0895545329532328,0.0849456784688534,0.1335150748976109,0.1157313119010158
19,19.0,0.0948765223534962,0.096602469860545,0.0888640588259629,0.0974194028375454,0.0734776070051995,0.1261926602279148,0.0882416665516686,0.0837583686709573,0.134604131080978,0.1159631125857316
20,20.0,0.0940226498703963,0.0966518618628966,0.0898415059574432,0.0978685986173562,0.0718518157060141,0.1268966665780321,0.087702438051362,0.0824988451836273,0.1352817781909676,0.117383839981904
21,21.0,0.0939308420207006,0.0969470067420956,0.0898646438544171,0.0969086431323105,0.0704600131526618,0.1287879078965126,0.0868265373468876,0.0811803563408272,0.1369913292221973,0.1181027202913889
22,22.0,0.0936788992644105,0.0983643996357275,0.0898052723188166,0.0969301831156431,0.0682601323520272,0.1300131067359994,0.0862795496446345,0.0802976240357487,0.1377576211227501,0.1186132117742416
23,23.0,0.0935788676343835,0.0979079717536784,0.0896268594593122,0.096585729718914,0.0670636021179171,0.1305553692124487,0.0858357051037932,0.0794507210157393,0.1398729996792555,0.1195221743045574
24,24.0,0.0940183165464313,0.0985941206623995,0.0895214696816971,0.0962327414079993,0.0664332752467087,0.1315385348520402,0.0847016188270135,0.0790453817192914,0.1397153107141831,0.1201992303422352
25,25.0,0.0939887914592973,0.0988062192072048,0.0894007085967565,0.0958023685047225,0.0659469241542306,0.1324348575132099,0.0847028731774675,0.0790765267932046,0.140043867257679,0.1197968633362266
26,26.0,0.0942889788873596,0.0986521255921018,0.0889154891224377,0.0962150714031622,0.0655554762692289,0.1327989625227933,0.0842980762429131,0.0790207721907927,0.1406367205352686,0.1196183272339414
27,27.0,0.0945375725577695,0.0987378462612886,0.0886973255792867,0.0968472738807324,0.0649140006236904,0.1337605935021787,0.0842472791440944,0.0780047819958948,0.1412751420791705,0.1189781843758933
28,28.0,0.0941532301635699,0.0997722428220842,0.0895986396080347,0.0965269458247571,0.0640919986711003,0.1343707246050612,0.0842947362470585,0.0774859190201624,0.1410798953134483,0.1186256677247229
29,29.0,0.0935762512410051,0.1008196656774089,0.0899732363654172,0.09547688991448,0.0632725042208853,0.1337620749965449,0.0847188017195199,0.0771160304470911,0.141932437599888,0.119352107817759
30,30.0,0.09233875499759,0.1013909952310425,0.0896766064163712,0.0968752110402885,0.0624073085395288,0.1344745608153341,0.0843771676933677,0.0770474188292121,0.1415320781840796,0.1198798982531849
31,31.0,0.0914791100688948,0.101054315795782,0.0900239545153803,0.0968882874358436,0.0618351182486694,0.1345475848775952,0.0846346068003597,0.0768183118445522,0.1420441658923928,0.1206745445205294
32,32.0,0.0912111308634429,0.1012149621469711,0.0909561534230568,0.0961999140069068,0.0608549470730192,0.1361019276524593,0.0842195719168797,0.0760529530476284,0.1422710125855084,0.1209174272841268
33,33.0,0.0902787030171085,0.1011569211173004,0.0905895324557082,0.0962723645807849,0.0597943463195403,0.1361312579755633,0.0841263495973391,0.0772271020620156,0.1428284663712922,0.1215949565033468
34,34.0,0.0892459100593299,0.1025409167219734,0.0912660317759776,0.0965496646356034,0.0602499781489121,0.1342877738474065,0.0840284359833208,0.0769612168797462,0.1424071230535629,0.1224629488941666
35,35.0,0.089111765934718,0.1024566298320833,0.090543413373036,0.0969432281127289,0.0617129310677328,0.1348331712478113,0.0839081336281001,0.0766447304381715,0.1416546060655173,0.1221913903001001
36,36.0,0.0899284803811461,0.103995971459788,0.0903086038850115,0.0959050317464649,0.0612678961298448,0.1342715372810983,0.0836535308688424,0.0780591275586856,0.1412042408425971,0.1214055798465206
37,37.0,0.0891488473851125,0.1049562160320602,0.0910323210659038,0.0956413828430645,0.0620596766994352,0.134593338702204,0.0829914727578689,0.0779799141223249,0.1406363044841259,0.1209605259078995
38,38.0,0.0902879721917302,0.1060261303816056,0.0906904471141688,0.0948959476760713,0.0614577235943177,0.1343806599862928,0.0831024382819434,0.0778694349549975,0.1400430539700849,0.1212461918487872
39,39.0,0.0896989844467339,0.1074436848917157,0.0923871121124062,0.0935171005551864,0.0613979219171462,0.134238791743946,0.0832892596327771,0.0777419015211944,0.1393718280790322,0.1209134150998611
40,40.0,0.0909004651867,0.107068832747332,0.094024842298804,0.092844529305241,0.0626875115210285,0.1328723920405989,0.0836223266519651,0.0760382891618076,0.1392247706871708,0.1207160403993514
41,41.0,0.0906722998834955,0.1071569729254458,0.0936311785663675,0.0924689922470291,0.0629340135163243,0.1331231054058468,0.0849407272961554,0.0745483332461599,0.1400893612011125,0.1204350157120624
42,42.0,0.0909405698756438,0.1074899530568129,0.0941070293596194,0.092345483993833,0.063038096617993,0.1325690882923513,0.0855768248893425,0.0731028750913527,0.1399658635175952,0.1208642153054556
43,43.0,0.0899621763332211,0.1076229859635233,0.0951816554791473,0.0921944186257441,0.0642011810857591,0.1331994524206964,0.0860639482902062,0.0725072742244575,0.1387550297172563,0.1203118778599882
44,44.0,0.0903524128721151,0.1081814038431036,0.095298601144361,0.0918925713339882,0.0634781668017246,0.1333172190289004,0.0855365590839005,0.0725217830226931,0.1391483005288253,0.1202729823403875
45,45.0,0.0905684537036548,0.1089064448195332,0.0958318267073458,0.0915039859052563,0.0635079596272862,0.1330006072643916,0.0850884511583403,0.0731677616986445,0.1381352108755815,0.1202892982399652
46,46.0,0.0916068425327308,0.1091353348997376,0.0953495276120735,0.0927937767493213,0.0633237009224998,0.1317922594673314,0.0838714819051932,0.0722398553855884,0.1399315366948572,0.119955683830666
47,47.0,0.0915484993921008,0.1089105745979309,0.0968269012407418,0.0931746238189695,0.062861175490156,0.1317154669424989,0.0836448596646023,0.0709020566061785,0.139692666275543,0.1207231759712776
48,48.0,0.089994556304093,0.1082719630880956,0.09757933206962,0.0937158950998413,0.0628691007757001,0.1316672656079706,0.0836027065439428,0.0714521393905919,0.1396914920542706,0.1211555490658734
49,49.0,0.090674589241372,0.1080589827818935,0.0973278677818727,0.0936584919920412,0.0628030117719259,0.1323647470398831,0.0835469737775495,0.0710419071693929,0.1400441368323669,0.1204792916117016
50,50.0,0.0909517591268554,0.1085585175565448,0.0973125983546258,0.0933196660059019,0.0634078114382352,0.1321994221005129,0.0833451549711152,0.0707047038718882,0.1392968132350039,0.1209035533393162
51,51.0,0.091338004284853,0.1084858268014119,0.0979248442261341,0.0922533723949269,0.0632654333331135,0.1319408820551109,0.0835768146128061,0.0708889386818253,0.1393094352468698,0.1210164483629478
52,52.0,0.0907543895409761,0.1092999423323234,0.0974118925453526,0.0923764475735941,0.0636811334097993,0.1314553066044727,0.0828540113631949,0.070585328446479,0.1401623329727231,0.1214192152110844
53,53.0,0.0910593901709813,0.1100510737224389,0.0969876514010135,0.0911547960902557,0.0642620181100682,0.1320815634340646,0.0825799370268577,0.0695348513280608,0.1404808798781468,0.1218078388381119
54,54.0,0.0914257230065276,0.1094883672111658,0.0963468509473838,0.0923922324949369,0.0650754727587222,0.1318802158583925,0.0824474702109634,0.0689190393699144,0.1405285763767999,0.1214960517651928
55,55.0,0.0906842898118529,0.1088738019208939,0.0965827207349489,0.0921610976117438,0.0647724882974014,0.1321400108753472,0.0825547742227953,0.0695743658215738,0.1409729181772769,0.1216835325261653
56,56.0,0.0909456253010018,0.1086285859019779,0.0961425971567806,0.0924458948867982,0.0651286997994252,0.1329684342209505,0.0815975185090855,0.0690583805689383,0.1405178600221541,0.1225664036328873
57,57.0,0.0908511381164607,0.1077961270957995,0.0956322338204911,0.0924115368709074,0.0665431239700908,0.1330523558062073,0.0815726497594066,0.068788734688358,0.1399730471162863,0.1233790527559916
58,58.0,0.09030154241047,0.1067516576499159,0.0944505088444263,0.0928669613175541,0.0678736593322581,0.1333090629034271,0.0817445846863161,0.0700467089472869,0.1394300861185587,0.1232252277897862
59,59.0,0.090709331276996,0.1077635060860084,0.0936391366349013,0.0922429286841412,0.0682715525228264,0.1342000772168579,0.081477886715473,0.0693363229742576,0.1399011300605228,0.1224581278280147
60,60.0,0.0915222414456474,0.1061891844877514,0.0945385892843611,0.092363571833982,0.0691813416534198,0.1340503743575882,0.0809253663517973,0.0697605767903538,0.1398107593633437,0.1216579944317548
61,61.0,0.0918293519074744,0.1063752416287895,0.0944992664150012,0.0928309598443339,0.0687832446009143,0.1330053270952916,0.0803471463740289,0.0702184130096476,0.1409684139436028,0.1211426351809153
62,62.0,0.0910868651331429,0.1069637237110718,0.0947045237570147,0.0931662380162295,0.0687143087752029,0.1333321669446445,0.0806140899618661,0.0707324806130239,0.1403451501819031,0.1203404529059
63,63.0,0.0898006766116108,0.1059688324139258,0.0954910760676462,0.0929855663131601,0.068353295941902,0.1330337492405369,0.0819048280250878,0.0713630113462456,0.1411798745685053,0.1199190894713788
64,64.0,0.0897984909875156,0.1051313284778173,0.0959714300751445,0.0921038932548579,0.0692489181070015,0.1322798435066959,0.0825666124661613,0.0711957985204848,0.1405187603038416,0.121184924300479
