,Run_number,Duration,HV Obtained
0,Run_1,0 days 05:52:32.899832,0.803727608568564
1,Run_10,0 days 05:15:40.338251,0.7976392908307228
2,Run_2,0 days 05:10:33.409933,0.7918536511811449
3,Run_3,0 days 05:43:29.153325,0.8051274832667994
4,Run_4,0 days 03:40:26.203960,0.7950489367936188
5,Run_5,0 days 04:27:45.921416,0.7978527446930923
6,Run_6,0 days 05:00:50.656179,0.7909489019085757
7,Run_7,0 days 04:52:59.181862,0.8071812463776059
8,Run_8,0 days 04:41:31.253847,0.7933312833442414
9,Run_9,0 days 03:54:48.148736,0.8056386536780312
10,Average,0 days 04:52:03.716734100,0.7988349800642396
