,Run_nr,HV,Epochs,Poor_epochs,Total_iterations
0,Run_1,0.8029764945656424,1089,92,54451
1,Run_2,0.7800129181666553,871,101,43551
2,Run_3,0.7338118513376017,520,136,26001
3,Run_4,0.7816947765128335,869,77,43451
4,Run_5,0.7710719902485063,849,196,42451
5,Run_6,0.7232484615104386,274,146,13663
6,Run_7,0.7605462384713546,292,188,14601
7,Run_8,0.7622116384201579,598,80,29901
8,Run_9,0.7663463513266158,1232,199,61601
9,Run_10,0.7791045588075292,540,195,27001
10,Run_11,0.7545284960550003,606,163,30301
11,Run_12,0.7747799270623935,629,129,31451
12,Run_13,0.753470259686097,501,193,25051
13,Run_14,0.7643755851564382,994,169,49701
14,Run_15,0.7474290455238257,358,20,17901
15,Run_16,0.750236567886635,294,192,14701
16,Run_17,0.7829948909113867,1012,71,50601
17,Run_18,0.7653856748749088,383,110,19151
18,Run_19,0.7689174631779657,546,138,27301
19,Run_20,0.756053563036921,391,143,19551
20,Run_21,0.754214032533165,514,192,25701
21,Run_22,0.798605708742859,1108,185,55401
22,Run_23,0.7452902737389893,292,196,14601
23,Run_24,0.7656633456037236,468,192,23401
24,Run_25,0.7607614769451054,578,192,28448
25,Run_26,0.7640135994082529,478,127,23901
26,Run_27,0.7327293284255023,295,195,14751
27,Run_28,0.7636698996401245,736,110,36801
28,Run_29,0.7481770954220314,348,179,17401
29,Run_30,0.8090342635810411,1802,92,90065
