,f_1,f_2,R_x
0,23.172606779256245,1422,35-34-25-27-67-5-54-38-22-33-20-17-59-11-31-1-26-8-51-64*49-9-17-44-14-2-50-43-20-55-10-16-26-30-15-42-62-24-63-6-35-34-45-36-54-18-32-39*9-1-68-59-10-17-43-13-33-58-35-41-27-67-18-38-66-54-36-45-34-51-8-26-49-15-62-24-21*31-11-49-15-42-24-30-21-6-35-57-34-45-36-38-66-48-39-32-5-54-19-29-3-69-23*50-2-0-3-66-19-36-45-58-64-52-10-59-68-9-16-26-8-51-35-34-25-4-40-46*38-66-29-3-0-50-17-61-43-13-20-55-52-64-35-57-41-34*17-9-31-1-26-8-28-56-6-47-40-46-7-4-12-41-36-38-69-19-54-5-37*21-63-30-62-26-16-10-20-43-50-23-69-3-66-54-18-65-19*8-52-64-58-33-50-2-23-29-48-3-19-69-38-66-18-65-54-36-45-34-57-51-56-28-10-20-43*43-13-33-22-19-18-32-37-65-39-48-29-23-50-17-9-11-15-30-63-6-47-53*6-21-24-30-26-49-1-59-10-28-56-51-35-41-12-27*40-53-7-4-25-41-45-22-33-50-2-14-44-61-17-10-8-56-6-63-24-62*64-51-41-27-67-37-5-65-18-69-0-2-50-43-17-59-1-49-15-42-30*46-40-12-41-57-34-58-33-50-0-69-3-38*11-68-1-26-8-56-6-47-7-4-25-41-58-64-52-20-17-60-14-2-50-33-22-38-66-48*
1,23.18003603004927,1419,35-34-25-27-67-5-54-38-22-33-20-17-59-11-31-1-26-8-51-64*49-9-17-44-14-2-50-43-20-55-10-16-26-30-15-42-62-24-63-6-35-34-45-36-54-18-32-39*9-1-68-59-10-17-43-13-33-58-35-41-27-67-18-38-66-54-36-45-34-51-8-26-49-15-62-24-21*31-11-49-15-42-24-30-21-6-35-57-34-45-36-38-66-48-39-32-5-54-19-29-3-69-23*50-2-0-3-66-19-36-45-58-64-52-10-59-68-9-16-26-8-51-35-34-25-4-40-46*38-66-29-3-0-50-17-61-43-13-20-55-52-64-35-57-41-34*17-9-31-1-26-8-28-56-6-47-40-46-7-4-12-41-36-38-69-19-54-5-37*21-63-30-62-26-16-10-20-43-50-23-69-3-66-54-18-65-19*8-52-64-58-33-50-2-23-29-48-3-19-69-38-66-18-65-54-36-45-34-57-51-56-28-10-20-43*43-13-33-22-19-18-32-37-65-39-48-29-23-50-17-9-11-15-30-63-6-47-53*6-21-24-30-26-49-1-59-10-28-56-51-35-41-12-27*40-53-7-4-25-41-45-22-33-50-2-14-44-61-17-10-8-56-6-63-24-62*64-51-41-27-67-37-5-65-18-69-0-2-50-43-17-59-1-49-15-42-30*46-40-12-41-57-34-58-33-50-0-69-3-38*11-1-26-8-56-6-47-7-4-25-41-58-64-52-20-17-60-14-2-50-33-22-38-66-48*
2,23.18089265225811,1417,35-34-25-27-67-5-54-38-22-33-20-17-59-11-31-1-26-8-51-64*49-9-17-44-14-2-50-43-20-55-10-16-26-30-15-42-62-24-63-6-35-34-45-36-54-18-32-39*9-1-68-59-10-17-43-13-33-58-35-41-27-67-18-38-66-54-36-45-34-51-8-26-49-15-62-24-21*31-11-49-15-42-24-30-21-6-35-57-34-45-36-38-66-48-39-32-5-54-19-29-3-69-23*50-2-0-3-66-19-36-45-58-64-52-10-59-68-9-16-26-8-51-35-34-25-4-40-46*38-66-29-3-0-50-17-61-43-13-20-55-52-64-35-57-41-34*17-9-31-1-26-8-28-56-6-47-40-46-7-4-12-41-36-38-69-19-54-5-37*21-63-30-62-26-16-10-20-43-50-23-69-3-66-54-18-65-19*8-52-64-58-33-50-2-23-29-48-3-19-69-38-66-18-65-54-36-45-34-57-51-56-28-10-20-43*43-33-22-19-18-32-37-65-39-48-29-23-50-17-9-11-15-30-63-6-47-53*6-21-24-30-26-49-1-59-10-28-56-51-35-41-12-27*40-53-7-4-25-41-45-22-33-50-2-14-44-61-17-10-8-56-6-63-24-62*64-51-41-27-67-37-5-65-18-69-0-2-50-43-17-59-1-49-15-42-30*46-40-12-41-57-34-58-33-50-0-69-3-38*11-1-26-8-56-6-47-7-4-25-41-58-64-52-20-17-60-14-2-50-33-22-38-66-48*
3,23.217130367516887,1415,35-34-25-27-67-5-54-38-22-33-20-17-59-11-31-1-26-8-51-64*49-9-17-44-14-2-50-43-20-55-10-16-26-30-15-42-62-24-63-6-35-34-45-36-54-18-32-39*9-1-68-59-10-17-43-13-33-58-35-41-27-67-18-38-66-54-36-45-34-51-8-26-49-15-62-24-21*31-11-49-15-42-24-30-21-6-35-57-34-45-36-38-66-48-39-32-5-54-19-29-3-69-23*50-2-0-3-66-19-36-45-58-64-52-10-59-68-9-16-26-8-51-35-34-25-4-40-46*38-66-29-3-0-50-17-61-43-13-20-55-52-64-35-57-41-34*17-9-31-1-26-8-56-6-47-40-46-7-4-12-41-36-38-69-19-54-5-37*21-63-30-62-26-16-10-20-43-50-23-69-3-66-54-18-65-19*8-52-64-58-33-50-2-23-29-48-3-19-69-38-66-18-65-54-36-45-34-57-51-56-28-10-20-43*43-33-22-19-18-32-37-65-39-48-29-23-50-17-9-11-15-30-63-6-47-53*6-21-24-30-26-49-1-59-10-28-56-51-35-41-12-27*40-53-7-4-25-41-45-22-33-50-2-14-44-61-17-10-8-56-6-63-24-62*64-51-41-27-67-37-5-65-18-69-0-2-50-43-17-59-1-49-15-42-30*46-40-12-41-57-34-58-33-50-0-69-3-38*11-1-26-8-56-6-47-7-4-25-41-58-64-52-20-17-60-14-2-50-33-22-38-66-48*
4,23.22330843072003,1410,35-34-25-27-67-5-54-38-22-33-20-17-59-11-31-1-26-8-51-64*49-9-17-44-14-2-50-43-20-55-10-16-26-30-15-42-62-24-63-6-35-34-45-36-54-18-32-39*9-1-68-59-10-17-43-13-33-58-35-41-27-67-18-38-66-54-36-45-34-51-8-26-49-15-62-24-21*31-11-49-15-42-24-30-21-6-35-57-34-45-36-38-66-48-39-32-5-54-19-29-3-69-23*50-2-0-3-66-19-36-45-58-64-52-10-59-68-9-16-26-8-51-35-34-25-4-40*38-66-29-3-0-50-17-61-43-13-20-55-52-64-35-57-41-34*17-9-31-1-26-8-56-6-47-40-46-7-4-12-41-36-38-69-19-54-5-37*21-63-30-62-26-16-10-20-43-50-23-69-3-66-54-18-65-19*8-52-64-58-33-50-2-23-29-48-3-19-69-38-66-18-65-54-36-45-34-57-51-56-28-10-20-43*43-33-22-19-18-32-37-65-39-48-29-23-50-17-9-11-15-30-63-6-47-53*6-21-24-30-26-49-1-59-10-28-56-51-35-41-12-27*40-53-7-4-25-41-45-22-33-50-2-14-44-61-17-10-8-56-6-63-24-62*64-51-41-27-67-37-5-65-18-69-0-2-50-43-17-59-1-49-15-42-30*46-40-12-41-34-58-33-50-0-69-3-38*11-1-26-8-56-6-47-7-4-25-41-58-64-52-20-17-60-14-2-50-33-22-38-66-48*
5,23.230176983339994,1407,35-34-25-27-67-5-54-38-22-33-20-17-59-11-31-1-26-8-51*49-9-17-44-14-2-50-43-20-55-10-16-26-30-15-42-62-24-63-6-35-34-45-36-54-18-32-39*9-1-68-59-10-17-43-13-33-58-35-41-27-67-18-38-66-54-36-45-34-51-8-26-49-15-62-24-21*31-11-49-15-42-24-30-21-6-35-57-34-45-36-38-66-48-39-32-5-54-19-29-3-69-23*50-2-0-3-66-19-36-45-58-64-52-10-59-68-9-16-26-8-51-35-34-25-4-40*38-66-29-3-0-50-17-61-43-13-20-55-52-64-35-57-41-34*17-9-31-1-26-8-56-6-47-40-46-7-4-12-41-36-38-69-19-54-5-37*21-63-30-62-26-16-10-20-43-50-23-69-3-66-54-18-65-19*8-52-64-58-33-50-2-23-29-48-3-19-69-38-66-18-65-54-36-45-34-57-51-56-28-10-20-43*43-33-22-19-18-32-37-65-39-48-29-23-50-17-9-11-15-30-63-6-47-53*6-21-24-30-26-49-1-59-10-28-56-51-35-41-12-27*40-53-7-4-25-41-45-22-33-50-2-14-44-61-17-10-8-56-6-63-24-62*64-51-41-27-67-37-5-65-18-69-0-2-50-43-17-59-1-49-15-42-30*46-40-12-41-34-58-33-50-0-69-3-38*11-1-26-8-56-6-47-7-4-25-41-58-64-52-20-17-60-14-2-50-33-22-38-66-48*
6,23.250107726732324,1406,35-34-25-27-67-5-54-38-22-33-20-17-59-11-31-1-26-8-51*49-9-17-44-14-2-50-43-20-55-10-16-26-30-15-42-62-24-63-6-35-34-45-36-54-18-32-39*9-1-68-59-10-17-43-13-33-58-35-41-27-67-18-38-66-54-36-45-34-51-8-26-49-15-62-24-21*31-11-49-15-42-24-30-21-6-35-57-34-45-36-38-66-48-39-32-5-54-19-29-3-69-23*50-2-0-3-66-19-36-45-58-64-52-10-59-68-9-16-26-8-51-35-34-25-4-40*38-66-29-3-0-50-17-61-43-13-20-55-52-64-35-57-41-34*17-9-31-1-26-8-56-6-47-40-46-7-4-12-41-36-38-69-19-54-5-37*21-63-30-62-26-16-10-20-43-50-23-69-3-66-54-18-65-19*8-52-64-58-33-50-2-23-29-48-3-19-69-38-66-18-5-54-36-45-34-57-51-56-28-10-20-43*43-33-22-19-18-32-37-65-39-48-29-23-50-17-9-11-15-30-63-6-47-53*6-21-24-30-26-49-1-59-10-28-56-51-35-41-12-27*40-53-7-4-25-41-45-22-33-50-2-14-44-61-17-10-8-56-6-63-24-62*64-51-41-27-67-37-5-65-18-69-0-2-50-43-17-59-1-49-15-42-30*46-40-12-41-34-58-33-50-0-69-3-38*11-1-26-8-56-6-47-7-4-25-41-58-64-52-20-17-60-14-2-50-33-22-38-66-48*
8,23.2532590581309,1400,35-34-25-27-67-5-54-38-22-33-20-17-59-11-31-1-26-8-51*49-9-17-44-14-2-50-43-20-55-10-16-26-30-15-42-62-24-63-6-35-34-45-36-54-18-32-39*9-1-68-59-10-17-43-13-33-58-35-41-27-67-18-38-66-54-36-45-34-51-8-26-49-15-62-21-24*31-11-49-15-42-24-30-21-6-35-57-34-45-36-38-66-48-39-32-5-54-19-29-3-69-23*50-2-0-3-66-19-36-45-58-64-52-10-59-68-9-16-26-8-51-35-34-25-4-40*38-66-29-3-0-50-17-61-43-13-20-55-52-64-35-57-41-34*9-31-1-26-8-56-6-47-40-46-7-4-12-41-36-38-69-19-54-5-37*21-63-30-62-26-16-10-20-43-50-23-69-3-66-54-18-65-19*8-52-64-58-33-50-2-23-29-48-3-19-69-38-66-18-5-54-36-45-34-57-51-56-28-10-20-43*43-33-22-19-18-32-37-65-39-48-29-23-50-17-9-11-15-30-63-6-47-53*6-21-24-30-26-49-1-59-10-28-56-51-35-41-12-27*40-53-7-4-25-41-45-22-33-50-2-14-44-61-17-10-8-56-6-63-24-62*64-51-41-27-67-37-5-65-18-69-0-2-50-43-17-59-1-49-15-42-30*46-40-12-41-34-58-33-50-0-69-3-38*11-1-26-8-56-6-47-7-4-25-41-58-64-52-20-17-60-14-2-50-33-22-38-66-48*
7,23.2536691984612,1398,35-34-25-27-67-5-54-38-22-33-20-17-59-11-31-1-26-8-51*49-9-17-44-14-2-50-43-20-55-10-16-26-30-15-42-62-24-63-6-35-34-45-36-54-18-32-39*9-1-68-59-10-17-43-13-33-58-35-41-27-67-18-38-66-54-36-45-34-51-8-26-49-15-62-24-21*31-11-49-15-42-24-30-21-6-35-57-34-45-36-38-66-48-39-32-5-54-19-29-3-69-23*50-2-0-3-66-19-36-45-58-64-52-10-59-68-9-16-26-8-51-35-34-25-4-40*38-66-29-3-0-50-17-61-43-13-20-55-52-64-35-57-41-34*9-31-1-26-8-56-6-47-40-46-7-4-12-41-36-38-69-19-54-5-37*21-63-30-62-26-16-10-20-43-50-23-69-3-66-54-18-65-19*8-52-64-58-33-50-2-23-29-48-3-19-69-38-66-18-5-54-36-45-34-57-51-56-28-10-20-43*43-33-22-19-18-32-37-65-39-48-29-23-50-17-9-11-15-30-63-6-47-53*6-21-24-30-26-49-1-59-10-28-56-51-35-41-12-27*40-53-7-4-25-41-45-22-33-50-2-14-44-61-17-10-8-56-6-63-24-62*64-51-41-27-67-37-5-65-18-69-0-2-50-43-17-59-1-49-15-42-30*46-40-12-41-34-58-33-50-0-69-3-38*11-1-26-8-56-6-47-7-4-25-41-58-64-52-20-17-60-14-2-50-33-22-38-66-48*
9,23.264696262531345,1396,35-34-25-27-67-5-54-38-22-33-20-17-59-11-31-1-26-8-51*49-9-17-44-14-2-50-43-20-55-10-16-26-30-15-42-62-24-63-6-35-34-45-36-54-18-32-39*9-1-68-59-10-17-43-13-33-58-35-41-27-67-18-38-66-54-36-45-34-51-8-26-49-15-62-21-24*31-11-49-15-42-24-30-21-6-35-57-34-45-36-38-66-48-39-32-5-54-19-29-3-69-23*50-2-0-3-66-19-36-45-58-64-52-10-59-68-9-16-26-8-51-35-34-25-4-40*38-66-29-3-0-50-17-61-43-13-20-55-52-64-35-57-41-34*9-31-1-26-8-56-6-47-40-46-7-4-12-41-36-38-69-19-54-5-37*21-63-30-62-26-16-10-20-43-50-23-69-3-66-54-18-65-19*8-52-64-58-33-50-2-23-29-48-3-19-69-38-66-18-5-54-36-45-34-57-51-56-28-10-20-43*43-33-22-19-18-37-65-39-48-29-23-50-17-9-11-15-30-63-6-47-53*6-21-24-30-26-49-1-59-10-28-56-51-35-41-12-27*40-53-7-4-25-41-45-22-33-50-2-14-44-61-17-10-8-56-6-63-24-62*64-51-41-27-67-37-5-65-18-69-0-2-50-43-17-59-1-49-15-42-30*46-40-12-41-34-58-33-50-0-69-3-38*11-1-26-8-56-6-47-7-4-25-41-58-64-52-20-17-60-14-2-50-33-22-38-66-48*
