,Run_number,Duration,HV Obtained
0,Run_1,0 days 05:46:59.367368,0.6482802844341193
1,Run_10,0 days 04:48:29.967131,0.6431140118515217
2,Run_11,0 days 04:15:08.664230,0.6355168623925567
3,Run_12,0 days 04:12:22.393827,0.6246373915873997
4,Run_13,0 days 06:35:36.480651,0.6346133390504973
5,Run_14,0 days 06:11:05.917126,0.6354902775751372
6,Run_15,0 days 05:16:07.574193,0.6336097695618723
7,Run_16,0 days 04:56:40.692052,0.6377159113630938
8,Run_17,0 days 04:15:30.406563,0.6367756708196481
9,Run_18,0 days 07:02:14.499663,0.6320594570506766
10,Run_19,0 days 05:11:20.308262,0.63742422326464
11,Run_2,0 days 05:54:19.992696,0.628749619674575
12,Run_20,0 days 05:56:49.197150,0.6420898389198526
13,Run_21,0 days 05:32:22.136620,0.6294081538590288
14,Run_22,0 days 06:44:03.848436,0.6348802764331798
15,Run_23,0 days 06:44:35.039680,0.6355892014751477
16,Run_24,0 days 04:55:55.445602,0.6381209864214328
17,Run_25,0 days 06:21:14.493122,0.631960046188419
18,Run_26,0 days 05:47:52.291864,0.6338603302087871
19,Run_27,0 days 03:18:53.751671,0.6264065246450834
20,Run_28,0 days 04:06:17.525869,0.6261902280881644
21,Run_29,0 days 05:43:22.146979,0.6329166070305113
22,Run_3,0 days 05:19:40.498552,0.6244309164864249
23,Run_30,0 days 05:33:14.652759,0.6244294282192985
24,Run_4,0 days 00:18:09.581989,0.5506365943760516
25,Run_5,0 days 06:36:16.412871,0.6301504753226497
26,Run_6,0 days 06:08:20.069692,0.6349276893594824
27,Run_7,0 days 07:48:31.827914,0.64697259686808
28,Run_8,0 days 06:01:29.493107,0.635621881484131
29,Run_9,0 days 06:06:17.170259,0.629063999110143
30,Average,0 days 05:26:58.728263266,0.6311880864373868
