,Run_number,Duration,HV Obtained
0,Run_1,0 days 00:02:46.112508,0.8093996660139122
1,Run_10,0 days 00:02:50.110594,0.8322572894265771
2,Run_11,0 days 00:02:44.687918,0.8060678143934388
3,Run_12,0 days 00:03:33.763990,0.820125665269051
4,Run_13,0 days 00:01:32.780477,0.7523136746078466
5,Run_14,0 days 00:02:13.487759,0.7756991081690434
6,Run_15,0 days 00:02:36.158061,0.7775764784090409
7,Run_16,0 days 00:02:19.061865,0.8165086840387488
8,Run_17,0 days 00:02:30.694799,0.8166304247710354
9,Run_18,0 days 00:02:59.365362,0.8043746571036117
10,Run_19,0 days 00:02:44.216593,0.8073709207844268
11,Run_2,0 days 00:03:28.082396,0.8203186884037946
12,Run_20,0 days 00:02:41.950464,0.8245171418159392
13,Run_21,0 days 00:02:18.944035,0.8174649895278943
14,Run_22,0 days 00:03:26.413498,0.813437133326125
15,Run_23,0 days 00:02:08.884531,0.8026182266700306
16,Run_24,0 days 00:02:30.410269,0.8211644661228379
17,Run_25,0 days 00:02:29.786794,0.8062039717913908
18,Run_3,0 days 00:02:31.002514,0.8053413746290712
19,Run_4,0 days 00:03:08.122086,0.8144887489938368
20,Run_5,0 days 00:02:44.439565,0.8226934336092524
21,Run_6,0 days 00:04:02.167219,0.8277496786284945
22,Run_7,0 days 00:03:37.484550,0.8352159095914878
23,Run_8,0 days 00:02:02.074227,0.8316533913203663
24,Run_9,0 days 00:01:06.516692,0.7340005045832982
25,Average,0 days 00:02:41.068750640,0.8078076816800221
