,Run_number,Duration,HV Obtained
0,Run_1,0 days 07:08:22.118370,0.5777698905930315
1,Run_10,0 days 06:28:05.738357,0.5688015065299229
2,Run_11,0 days 04:45:22.668410,0.5659900999038755
3,Run_12,0 days 03:39:01.686221,0.5604350958431787
4,Run_13,0 days 06:08:31.124401,0.565691324622827
5,Run_14,0 days 04:18:55.966998,0.5634011926715278
6,Run_15,0 days 08:04:10.212732,0.5676132716371566
7,Run_16,0 days 03:23:54.203337,0.5776265073681706
8,Run_17,0 days 04:04:15.252295,0.5643380832605425
9,Run_18,0 days 05:34:01.426126,0.5750795293216164
10,Run_19,0 days 06:33:17.663087,0.5769116736923063
11,Run_2,0 days 10:05:44.562041,0.5732511856031975
12,Run_20,0 days 05:58:11.758850,0.590378009548901
13,Run_21,0 days 07:00:14.461807,0.5874891455529154
14,Run_22,0 days 07:50:19.247063,0.5949729982518187
15,Run_23,0 days 11:07:45.400749,0.6115383371724366
16,Run_24,0 days 08:50:30.858700,0.6180976578308716
17,Run_25,0 days 08:41:34.538724,0.6231162221626991
18,Run_26,0 days 09:02:03.462526,0.6286639503773648
19,Run_27,0 days 00:25:54.771111,0.5350096528878985
20,Run_28,0 days 12:21:23.055030,0.6444601335444706
21,Run_29,0 days 11:15:58.524749,0.6541704271705616
22,Run_3,0 days 11:28:46.270109,0.5721455639444073
23,Run_30,0 days 10:03:21.286570,0.6484525134555951
24,Run_4,0 days 08:19:16.478237,0.5720889381031061
25,Run_5,0 days 08:57:33.036504,0.5693671399225668
26,Run_6,0 days 08:47:39.612705,0.5678607742008517
27,Run_7,0 days 06:40:30.418734,0.5639245143701515
28,Run_8,0 days 07:57:54.939928,0.5676435223532624
29,Run_9,0 days 08:38:21.370875,0.5664134725240111
30,Average,0 days 07:27:22.070511533,0.5850900778140413
